#flow_id|protocol|first_seen|last_seen|duration|src_ip|src_port|dst_ip|dst_port|ndpi_proto_num|ndpi_proto|proto_by_ip|server_name_sni|c_to_s_pkts|c_to_s_bytes|c_to_s_goodput_bytes|s_to_c_pkts|s_to_c_bytes|s_to_c_goodput_bytes|data_ratio|str_data_ratio|c_to_s_goodput_ratio|s_to_c_goodput_ratio|iat_flow_min|iat_flow_avg|iat_flow_max|iat_flow_stddev|iat_c_to_s_min|iat_c_to_s_avg|iat_c_to_s_max|iat_c_to_s_stddev|iat_s_to_c_min|iat_s_to_c_avg|iat_s_to_c_max|iat_s_to_c_stddev|pktlen_c_to_s_min|pktlen_c_to_s_avg|pktlen_c_to_s_max|pktlen_c_to_s_stddev|pktlen_s_to_c_min|pktlen_s_to_c_avg|pktlen_s_to_c_max|pktlen_s_to_c_stddev|cwr|ece|urg|ack|psh|rst|syn|fin|c_to_s_cwr|c_to_s_ece|c_to_s_urg|c_to_s_ack|c_to_s_psh|c_to_s_rst|c_to_s_syn|c_to_s_fin|s_to_c_cwr|s_to_c_ece|s_to_c_urg|s_to_c_ack|s_to_c_psh|s_to_c_rst|s_to_c_syn|s_to_c_fin|c_to_s_init_win|s_to_c_init_win|server_info|tls_version|quic_version|ja3s|advertised_alpns|negotiated_alpn|tls_supported_versions|ssh_client_hassh|ssh_server_hassh|flow_info|plen_bins|http_user_agent
2|6|1747308108.993|1747308129.269|20.276|24.130.134.221|58957|172.31.14.200|8765|91|TLS|Unknown||108|9650|2498|98|9927|3451|-0.014|Mixed|25.9|34.8|4|92.3|2048|266.4|0|167.4|2048|355.3|0|165.3|2063|313.6|66|89.4|1514|142.4|66|101.3|576|57.4|0|0|0|205|103|0|2|2|0|0|0|107|12|0|1|1|0|0|0|98|91|0|1|1|78|74||TLSv1.2|0||||TLSv1.3;TLSv1.2||||73;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
4|6|1747308129.461|1747308137.325|7.864|24.130.134.221|58997|172.31.14.200|8765|91|TLS|Unknown||41|3422|692|37|4255|1805|-0.109|Mixed|20.2|42.4|6|124.2|2032|356.2|0|213.8|2032|463.2|0|245.3|2080|494.5|66|83.5|358|52.9|66|115.0|576|91.2|0|0|0|77|39|0|2|0|0|0|0|40|5|0|1|0|0|0|0|37|34|0|1|0|78|74||0|0||||||||61;20;5;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
0|6|1747308107.598|1747308107.637|0.039|172.31.14.200|22|24.130.134.221|64758|92|SSH|Unknown||4|480|216|4|264|0|0.290|Upload|44.9|0.0|4|8.8|13|3.2|0|8.3|25|11.8|4|12.0|23|8.0|102|120.0|142|15.4|66|66.0|66|0.0|0|0|0|8|4|0|0|0|0|0|0|4|4|0|0|0|0|0|0|4|0|0|0|0|0|0||0|0||||||||0;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
3|17|1747308123.165|1747308123.170|0.005|172.31.14.200|47287|169.254.169.123|123|9|NTP|Unknown||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|4|4.0|4|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
1|6|1747308108.756|1747308108.797|0.041|24.130.134.221|58891|172.31.14.200|8765|91|TLS|Unknown||8|582|54|6|446|50|0.132|Mixed|9.3|11.2|5|11.0|17|4.9|0|5.5|17|6.5|0|1.7|5|2.4|66|72.8|96|11.8|66|74.3|92|11.8|0|0|0|14|4|0|0|5|0|0|0|8|2|0|0|4|0|0|0|6|2|0|0|1|0|0||0|0||||||||100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
