#flow_id|protocol|first_seen|last_seen|duration|src_ip|src_port|dst_ip|dst_port|ndpi_proto_num|ndpi_proto|proto_by_ip|server_name_sni|c_to_s_pkts|c_to_s_bytes|c_to_s_goodput_bytes|s_to_c_pkts|s_to_c_bytes|s_to_c_goodput_bytes|data_ratio|str_data_ratio|c_to_s_goodput_ratio|s_to_c_goodput_ratio|iat_flow_min|iat_flow_avg|iat_flow_max|iat_flow_stddev|iat_c_to_s_min|iat_c_to_s_avg|iat_c_to_s_max|iat_c_to_s_stddev|iat_s_to_c_min|iat_s_to_c_avg|iat_s_to_c_max|iat_s_to_c_stddev|pktlen_c_to_s_min|pktlen_c_to_s_avg|pktlen_c_to_s_max|pktlen_c_to_s_stddev|pktlen_s_to_c_min|pktlen_s_to_c_avg|pktlen_s_to_c_max|pktlen_s_to_c_stddev|cwr|ece|urg|ack|psh|rst|syn|fin|c_to_s_cwr|c_to_s_ece|c_to_s_urg|c_to_s_ack|c_to_s_psh|c_to_s_rst|c_to_s_syn|c_to_s_fin|s_to_c_cwr|s_to_c_ece|s_to_c_urg|s_to_c_ack|s_to_c_psh|s_to_c_rst|s_to_c_syn|s_to_c_fin|c_to_s_init_win|s_to_c_init_win|server_info|tls_version|quic_version|ja3s|advertised_alpns|negotiated_alpn|tls_supported_versions|ssh_client_hassh|ssh_server_hassh|flow_info|plen_bins|http_user_agent
10|17|1746913521.886|1746913521.886|0.000|172.31.14.200|34616|169.254.169.123|123|9|NTP|Unknown||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
3|17|1746913489.593|1746913489.593|0.000|172.31.14.200|46948|169.254.169.123|123|9|NTP|Unknown||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
5|17|1746913505.760|1746913505.761|0.001|172.31.14.200|36204|169.254.169.123|123|9|NTP|Unknown||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|1|1.0|1|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
7|17|1746913508.679|1746913508.680|0.001|172.31.14.200|38756|172.31.0.2|53|5|DNS|Unknown|api.snapcraft.io|1|87|45|1|151|109|-0.269|Download|51.1|71.7|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|87|87.0|87|0.0|151|151.0|151|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||185.125.188.59|0;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
0|6|1746913472.844|1746913472.885|0.041|172.31.14.200|22|24.130.134.221|55002|92|SSH|Unknown||4|488|224|4|264|0|0.298|Upload|45.8|0.0|5|9.5|15|3.6|0|8.3|17|6.9|5|10.0|15|4.1|110|122.0|142|13.3|66|66.0|66|0.0|0|0|0|8|4|0|0|0|0|0|0|4|4|0|0|0|0|0|0|4|0|0|0|0|0|0||0|0||||||||0;75;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
6|17|1746913508.679|1746913508.680|0.001|172.31.14.200|55797|172.31.0.2|53|5|DNS|Unknown|api.snapcraft.io|1|87|45|1|199|157|-0.392|Download|51.1|78.5|1|1.0|1|0.0|0|0.0|0|0.0|0|0.0|0|0.0|87|87.0|87|0.0|199|199.0|199|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||2620:2d:4000:1010::2e6|0;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
4|6|1746913492.007|1746913512.316|20.309|24.130.134.221|55165|172.31.14.200|8765|7.251|HTTP.WebSocket|Unknown|54.176.21.146|101|7378|700|93|7100|954|0.019|Mixed|9.5|13.4|4|96.6|2012|270.7|0|177.0|2012|363.1|0|174.8|2028|316.9|66|73.0|336|31.8|66|76.3|371|30.9|0|0|0|193|97|0|2|2|0|0|0|100|9|0|1|1|0|0|0|93|88|0|1|1|78|74||0|0||||||||92;0;4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|Python/3.13 websockets/15.0.1
9|6|1746913513.532|1746913531.176|17.644|24.130.134.221|55201|172.31.14.200|8765|7.251|HTTP.WebSocket|Unknown|54.176.21.146|93|6818|668|87|6688|938|0.010|Mixed|9.8|14.0|9|95.6|2005|277.4|0|181.8|2005|376.2|0|168.6|2020|322.7|66|73.3|336|33.0|66|76.9|371|31.8|0|0|0|179|91|0|2|0|0|0|0|92|6|0|1|0|0|0|0|87|85|0|1|0|78|74||0|0||||||||92;0;4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|Python/3.13 websockets/15.0.1
8|6|1746913508.680|1746913514.459|5.779|172.31.14.200|52466|185.125.188.59|443|91.169|TLS.UbuntuONE|UbuntuONE|api.snapcraft.io|12|3499|2699|11|3022|2294|0.073|Mixed|77.1|75.9|25|806.0|5004|1714.3|0|55.9|237|84.0|0|767.9|5004|1730.2|66|291.6|1274|426.2|60|274.7|817|305.2|0|0|0|21|11|1|2|2|0|0|0|11|5|0|1|1|0|0|0|10|6|1|1|1|74|74||TLSv1.2|0||||TLSv1.3;TLSv1.2||||18;0;27;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;9;9;0;9;0;0;0;0;0;0;0;0;0;0;9;0;0;9;0;0;0;0;0;0;0;0;0;0|
