#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,proto_by_ip,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,quic_version,ja3s,advertised_alpns,negotiated_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent,label
9,6,1746922078.505,1746922118.612,40.107,24.130.134.221,57017,172.31.14.200,8765,7.251,HTTP.WebSocket,Unknown,54.176.21.146,56,4813,1105,34,2950,698,0.24,Upload,23.0,23.7,4,732.7,2993,988.6,0,742.7,2993,998.2,0,1105.3,2791,986.3,66,85.9,336,39.9,66,86.8,371,50.6,0,0,0,89,52,0,2,2,0,0,0,55,26,0,1,1,0,0,0,34,26,0,1,1,78,74,,0,0,,,,,,,,59;34;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,Python/3.13 websockets/15.0.1,0
7,6,1746922060.343,1746922069.386,9.043,172.31.14.200,49698,52.119.180.144,443,91.265,TLS.AmazonAWS,AmazonAWS,ssm.us-west-1.amazonaws.com,16,3979,3095,20,2254,1102,0.277,Upload,77.8,48.9,26,4519.5,9013,4493.5,0,751.1,9013,2491.1,0,1.7,26,6.5,54,248.7,1262,381.5,60,112.7,340,87.1,0,0,0,35,17,0,2,2,0,0,0,15,8,0,1,1,0,0,0,20,9,0,1,1,74,66,,TLSv1.3,0,f4febc55ea12b31ae17cfb7e614afda8,h2;http/1.1,,TLSv1.3;TLSv1.2,,,,23;23;5;0;5;5;0;0;17;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0,,0
4,6,1746922060.338,1746922060.34,0.002,172.31.14.200,38962,169.254.169.254,80,7.0,HTTP,Unknown,169.254.169.254,5,585,247,5,864,526,-0.193,Mixed,42.2,60.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,66,117.0,313,98.0,66,172.8,592,209.6,0,0,0,9,2,0,2,2,0,0,0,4,1,0,1,1,0,0,0,5,1,0,1,1,74,74,,0,0,,,,,,,,0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,aws-sdk-go/1.55.5 (go1.22.11; linux; amd64),0
